bioID,height,weight,birthDate
washico01w,66.0,138,1971-01-17
washito01w,71.0,160,1977-12-30
wautean01w,76.0,193,1980-10-12
weathte01w,68.0,161,1965-12-08
webbum01w,70.0,162,1975-06-26
weberma01w,77.0,200,1982-06-01
weckeke01w,73.0,172,1982-12-16
whaleli01w,68.0,150,1982-05-09
whitede01w,71.0,180,1980-04-03
whiteer01w,63.0,135,1986-08-26
whiteta01w,67.0,154,1982-09-27
whitiva01w,74.0,199,1972-04-09
whitmta01w,74.0,190,1977-06-05
whittje01w,77.0,176,1973-09-05
whittkh01w,73.0,185,1986-08-05
wickssu01w,75.0,191,1966-11-26
widemja01w,66.0,135,1975-10-16
wiggica01w,71.0,154,1987-02-14
wilkeda01w,65.0,121,1969-02-27
wilkibr01w,75.0,185,1983-06-15
williad01w,77.0,170,1977-02-15
willian01w,72.0,149,1983-07-21
willibe01w,69.0,145,1965-11-09
willide01w,68.0,160,1972-09-23
williki01w,66.0,136,1974-10-14
willile01w,72.0,200,1981-02-10
willile02w,71.0,155,1979-07-04
willili01w,71.0,170,1984-06-13
willina01w,74.0,210,1970-11-30
williri01w,66.0,135,1976-01-14
williri02w,67.0,165,1990-05-28
willish01w,66.0,135,1980-04-14
willita01w,71.0,170,1974-07-23
willito01w,68.0,138,1982-01-11
williwe01w,67.0,141,1978-11-18
wilsoam01w,71.0,176,1977-02-06
wirthch01w,73.0,185,1987-04-18
wisdoli01w,74.0,186,1986-05-26
witheso01w,70.0,145,1969-07-06
wojtaju01w,72.0,175,1989-04-09
wolteka01w,79.0,227,1975-08-15
wolvean01w,75.0,205,1978-12-08
woodaly01w,72.0,160,1959-08-12
wooslti01w,67.0,132,1973-04-04
wrighfa01w,66.0,130,1973-01-28
wrighmo01w,71.0,178,1988-07-15
wrighsh01w,70.0,155,1981-09-21
wrighta01w,71.0,165,1983-11-20
wyckobr01w,73.0,183,1980-03-30
wynneda01w,74.0,175,1975-02-02
yamasli01w,73.0,190,1980-06-02
yasenco01w,72.0,160,1973-12-05
yilmane01w,76.0,193,1980-06-06
youngca01w,69.0,175,1969-07-28
youngso01w,73.0,165,1983-12-15
youngta01w,74.0,166,1986-10-30
zakalok01w,78.0,174,1977-12-18
zarafr01w,70.0,146,1976-12-08
zellosh01w,70.0,155,1986-08-28
zhengha01w,80.0,254,1967-03-07
zirkozu01w,69.0,145,1980-06-06
zollsh01w,67.0,148,1986-07-11
